          ,close  ,high              ,low    ,p_change             ,open  ,pre_close,volume  ,date    ,date_week,key,atr21             ,atr14
2018-06-01,195.37 ,195.37            ,191.9  ,2.761                ,192.03,190.12   ,4194886 ,20180601,4        ,245,3.3775474438471753,3.2161070202287703
2018-06-04,197.73 ,198.11            ,195.23 ,1.208                ,195.94,195.37   ,3917154 ,20180604,0        ,246,3.796861312613372 ,3.8526260841982616
2018-06-05,199.4  ,199.61            ,197.92 ,0.845                ,198.47,197.73   ,147297  ,20180605,1        ,247,3.837146647832523 ,3.9042759396384907
2018-06-06,203.21 ,203.29            ,199.77 ,1.911                ,199.86,199.4    ,3233139 ,20180606,2        ,248,3.9937696798554714,4.125039147686684
2018-06-07,199.54 ,204.0             ,198.3  ,-1.806               ,203.38,203.21   ,4084120 ,20180607,3        ,249,4.148881527148294 ,4.335033927995124
2018-06-08,200.04 ,200.53            ,199.0  ,0.251                ,199.2 ,199.54   ,2296722 ,20180608,4        ,250,4.154437751953225 ,4.31836273759578
2018-06-11,198.49 ,201.0             ,198.26 ,-0.775               ,200.61,200.04   ,2616880 ,20180611,0        ,251,4.025852501770893 ,4.10791437258301
2018-06-12,200.13 ,200.15            ,198.19 ,0.826                ,199.12,198.49   ,2660497 ,20180612,1        ,252,3.838047728876301 ,3.8215257895719428
2018-06-13,199.41 ,201.62            ,199.21 ,-0.36                ,200.63,200.13   ,2686503 ,20180613,2        ,253,3.773679753521933 ,3.729322350962342
2018-06-14,199.23 ,201.35            ,199.055,-0.09                ,200.25,199.41   ,135324  ,20180614,3        ,254,3.6392543213798296,3.538079370834028
2018-06-15,199.53 ,199.67            ,197.57 ,0.151                ,198.55,199.23   ,4162059 ,20180615,4        ,255,3.499322110341756 ,3.3463354547228232
2018-06-18,201.13 ,201.45            ,197.41 ,0.802                ,197.64,199.53   ,2081250 ,20180618,0        ,256,3.5484746457663636,3.438824060759779
2018-06-19,199.69 ,199.93            ,197.27 ,-0.716               ,198.46,201.13   ,2666212 ,20180619,1        ,257,3.467704223422276 ,3.3349808526584748
2018-06-20,201.54 ,203.46            ,200.25 ,0.926                ,200.5 ,199.69   ,3898620 ,20180620,2        ,258,3.444276566747079 ,3.318316738970679
2018-06-21,201.87 ,203.47            ,200.05 ,0.16399999999999998  ,201.71,201.54   ,167386  ,20180621,3        ,259,3.4747968788615062,3.379874507107918
2018-06-22,201.48 ,201.87            ,199.61 ,-0.193               ,201.57,201.87   ,3126427 ,20180622,4        ,260,3.364360798963269 ,3.230557906160194
2018-06-25,194.98 ,200.44            ,193.709,-3.2260000000000004  ,200.39,201.48   ,4780595 ,20180625,0        ,261,3.8004189081546618,3.887950185338839
2018-06-26,196.46 ,198.66            ,195.76 ,0.759                ,196.18,194.98   ,4271256 ,20180626,1        ,262,3.9749262801428737,4.132223493960335
2018-06-27,193.18 ,198.2             ,193.16 ,-1.67                ,197.46,196.46   ,3233318 ,20180627,2        ,263,4.0717511637673915,4.2532603614322895
2018-06-28,197.1  ,197.75            ,193.205,2.029                ,193.46,193.18   ,2621260 ,20180628,3        ,264,4.1147737852435435,4.292158979907983
2018-06-29,196.52 ,198.31            ,196.18 ,-0.294               ,198.2 ,197.1    ,3007119 ,20180629,4        ,265,4.2070670774950285,4.403871115920247
2018-07-02,197.67 ,197.97            ,194.75 ,0.585                ,195.74,196.52   ,3018389 ,20180702,0        ,266,4.117333706812866 ,4.246021633797548
2018-07-03,196.27 ,198.41            ,196.16 ,-0.708               ,198.41,197.67   ,69349   ,20180703,1        ,267,3.947576097101236 ,3.9798854159578747
