          ,close  ,high   ,low    ,p_change,open   ,pre_close,volume ,date    ,date_week,atr21             ,atr14             ,key
2018-04-16,164.38 ,165.31 ,163.05 ,0.915   ,164.54 ,162.89   ,466288 ,20180416,0        ,3.9771984926203467,3.7714315969038417,212
2018-04-17,166.13 ,166.37 ,164.68 ,1.065   ,165.12 ,164.38   ,33274  ,20180417,1        ,3.931998629592186 ,3.7325740506499967,213
2018-04-18,166.46 ,166.85 ,165.1  ,0.199   ,165.79 ,166.13   ,27715  ,20180418,2        ,3.7990896630980777,3.5642308438966523,214
2018-04-19,165.72 ,166.2  ,164.51 ,-0.445  ,166.0  ,166.46   ,596222 ,20180419,3        ,3.6073542389603444,3.3143333980437557,215
2018-04-20,164.37 ,165.65 ,163.58 ,-0.815  ,165.62 ,165.72   ,25978  ,20180420,4        ,3.5412311262586975,3.2564222783045857,216
2018-04-23,162.48 ,164.32 ,161.86 ,-1.15   ,164.0  ,164.37   ,671150 ,20180423,0        ,3.570210114808081 ,3.336899307863978 ,217
2018-04-24,160.46 ,163.62 ,159.12 ,-1.243  ,163.17 ,162.48   ,817090 ,20180424,1        ,3.7229182863206463,3.5919794001487872,218
2018-04-25,162.54 ,163.37 ,159.675,1.296   ,161.0  ,160.46   ,1049479,20180425,2        ,3.720380260289509 ,3.605715480128948 ,219
2018-04-26,164.48 ,165.7  ,161.36 ,1.194   ,163.05 ,162.54   ,90525  ,20180426,3        ,3.858527509452396 ,3.8236200827784192,220
2018-04-27,163.18 ,164.5  ,162.57 ,-0.79   ,164.0  ,164.48   ,67214  ,20180427,4        ,3.6859340993905287,3.5751374050746234,221
2018-04-30,162.2  ,164.8  ,162.18 ,-0.601  ,164.02 ,163.18   ,742802 ,20180430,0        ,3.5890309993889495,3.4477857510646723,222
2018-05-01,163.45 ,163.43 ,161.01 ,0.771   ,161.3  ,162.2    ,31839  ,20180501,1        ,3.482755453933139 ,3.3107476509227163,223
2018-05-02,162.71 ,164.36 ,162.39 ,-0.453  ,163.59 ,163.45   ,787241 ,20180502,2        ,3.3625049580625945,3.1573146307996893,224
2018-05-03,163.12 ,163.555,160.48 ,0.252   ,162.24 ,162.71   ,781539 ,20180503,3        ,3.3363681436817214,3.1463393466930665,225
2018-05-04,166.31 ,167.4  ,161.29 ,1.956   ,162.33 ,163.12   ,621062 ,20180504,4        ,3.58851649435739  ,3.541494100467329 ,226
2018-05-07,167.39 ,168.12 ,166.06 ,0.649   ,166.62 ,166.31   ,450015 ,20180507,0        ,3.7168331767353906,3.735961553738353 ,227
2018-05-08,167.89 ,168.16 ,166.15 ,0.299   ,166.89 ,167.39   ,579161 ,20180508,1        ,3.5616665242533916,3.5058333465732368,228
2018-05-09,170.55 ,171.06 ,167.18 ,1.584   ,168.19 ,167.89   ,585015 ,20180509,2        ,3.59060593114818  ,3.5557222336968044,229
2018-05-10,173.78 ,174.13 ,170.36 ,1.894   ,170.72 ,170.55   ,752603 ,20180510,3        ,3.8314599374735105,3.9136259358705625,230
2018-05-11,174.05 ,174.75 ,172.86 ,0.155   ,173.65 ,173.78   ,871868 ,20180511,4        ,3.864963579529723 ,3.951809144421145 ,231
2018-05-14,172.0  ,174.8  ,171.04 ,-1.178  ,174.6  ,174.05   ,617847 ,20180514,0        ,3.85542143593395  ,3.9262345918316615,232
2018-05-15,170.89 ,171.61 ,169.85 ,-0.645  ,171.21 ,172.0    ,540504 ,20180515,1        ,3.8867467599464125,3.962736646254109 ,233
2018-05-16,172.24 ,173.07 ,170.73 ,0.79    ,171.17 ,170.89   ,741990 ,20180516,2        ,3.7461334181067545,3.7463717600868947,234
2018-05-17,171.54 ,172.66 ,170.565,-0.406  ,172.15 ,172.24   ,463694 ,20180517,3        ,3.5960303800714803,3.5261888587419747,235
2018-05-18,172.52 ,172.87 ,171.07 ,0.571   ,171.3  ,171.54   ,694023 ,20180518,4        ,3.4327548909487895,3.296030344243046 ,236
2018-05-21,175.09 ,175.58 ,173.35 ,1.49    ,173.36 ,172.52   ,1059229,20180521,0        ,3.4879589917794007,3.3952262983439763,237
