          ,close  ,high   ,low    ,p_change             ,open  ,pre_close,volume  ,date    ,date_week,key,atr21             ,atr14
2018-01-08,119.34 ,120.477,118.07 ,0.404                ,118.61,118.86   ,6660722 ,20180108,0        ,145,2.174561616779163 ,2.290129666999808
2018-01-09,119.11 ,119.97 ,118.66 ,-0.193               ,119.97,119.34   ,6562409 ,20180109,1        ,146,2.095965041496443 ,2.159445711304229
2018-01-10,118.94 ,119.03 ,117.48 ,-0.14300000000000002 ,118.7 ,119.11   ,261442  ,20180110,2        ,147,2.0745136580427426,2.119519616438351
2018-01-11,119.84 ,119.98 ,118.68 ,0.757                ,118.8 ,118.94   ,5982149 ,20180111,3        ,148,2.004103277616438 ,2.010250334186528
2018-01-12,120.09 ,120.35 ,119.71 ,0.209                ,120.12,119.84   ,5585787 ,20180112,4        ,149,1.9500938553560325,1.9302169562568745
2018-01-16,120.39 ,121.94 ,119.91 ,0.25                 ,121.18,120.09   ,8803789 ,20180116,1        ,150,1.9637216943455857,1.9528546954319652
2018-01-17,121.98 ,122.16 ,120.73 ,1.321                ,121.2 ,120.39   ,7991512 ,20180117,2        ,151,1.9733833634318585,1.968474069379954
2018-01-18,123.11 ,123.195,122.03 ,0.926                ,122.52,121.98   ,8660985 ,20180118,3        ,152,2.0489849109586777,2.080010860163864
2018-01-19,122.7  ,123.65 ,121.92 ,-0.333               ,123.05,123.11   ,8250687 ,20180119,4        ,153,2.019986270446249 ,2.033342745462811
2018-01-22,124.33 ,124.33 ,122.4  ,1.328                ,122.87,122.7    ,9355047 ,20180122,0        ,154,2.0118056972657676,2.0195637127312267
2018-01-23,124.65 ,125.51 ,124.21 ,0.257                ,124.6 ,124.33   ,5683320 ,20180123,1        ,155,2.0843688410157712,2.124955217721661
2018-01-24,124.55 ,125.45 ,123.71 ,-0.08                ,125.05,124.65   ,6425224 ,20180124,2        ,156,2.053062572810914 ,2.0736278553497973
2018-01-25,125.22 ,125.47 ,124.63 ,0.5379999999999999   ,125.0 ,124.55   ,7166403 ,20180125,3        ,157,1.9427841252994205,1.9091441412782264
2018-01-26,126.32 ,126.38 ,124.76 ,0.878                ,125.77,125.22   ,5604949 ,20180126,4        ,158,1.9325310203115371,1.898591589106406
2018-01-29,124.84 ,126.88 ,124.685,-1.172               ,126.74,126.32   ,6257887 ,20180129,0        ,159,1.9563918423334916,1.9381127105633837
2018-01-30,123.55 ,124.29 ,122.84 ,-1.033               ,123.82,124.84   ,8154371 ,20180130,1        ,160,2.0949017048581036,2.1436976825085514
2018-01-31,124.23 ,124.48 ,123.04 ,0.55                 ,123.78,123.55   ,7338184 ,20180131,2        ,161,2.06809245368148  ,2.0978713248368295
