,timestamp,open,high,low,close,pre_close,p_change,pip_change
3676,2006-06-02,1.8663,1.886,1.8607,1.8834,1.8657,0.009487055796751909,94.87055796751909
3675,2006-06-05,1.8831,1.8879,1.8716,1.8721,1.8834,-0.005999787618137353,-59.997876181373535
3674,2006-06-06,1.872,1.8772,1.8589,1.8604,1.8721,-0.006249666150312527,-62.496661503125274
3673,2006-06-07,1.8606,1.8648,1.8526,1.8565,1.8604,-0.002096323371318043,-20.96323371318043
3672,2006-06-08,1.8571,1.8577,1.837,1.8435,1.8565,-0.007002423915970946,-70.02423915970945
3671,2006-06-09,1.8436,1.8483,1.836,1.8405,1.8435,-0.0016273393002440573,-16.27339300244057
3670,2006-06-12,1.8391,1.8469,1.8378,1.842,1.8405,0.0008149959250203231,8.149959250203231
3669,2006-06-13,1.8423,1.8455,1.8314,1.8343,1.842,-0.004180238870792663,-41.80238870792663
3668,2006-06-14,1.8341,1.8498,1.8332,1.843,1.8343,0.004742953715313636,47.42953715313636
3667,2006-06-15,1.8431,1.8547,1.8418,1.8484,1.843,0.002930005425936022,29.30005425936022
3666,2006-06-16,1.8486,1.8558,1.8469,1.8493,1.8484,0.0004869075957585345,4.869075957585345
3665,2006-06-19,1.8517,1.8533,1.8365,1.8405,1.8493,-0.0047585572919482955,-47.585572919482956
3664,2006-06-20,1.8403,1.8459,1.8367,1.8419,1.8405,0.0007606628633523016,7.606628633523016
3663,2006-06-21,1.8422,1.8472,1.8404,1.8456,1.8419,0.0020087952657581454,20.087952657581454
3662,2006-06-22,1.8455,1.8467,1.8261,1.8279,1.8456,-0.009590377113133819,-95.90377113133819
3661,2006-06-23,1.8278,1.8312,1.8123,1.8181,1.8279,-0.005361343618359937,-53.613436183599376
3660,2006-06-26,1.8186,1.8247,1.8159,1.8233,1.8181,0.0028601287057916647,28.601287057916647
3659,2006-06-27,1.823,1.8263,1.8183,1.8215,1.8233,-0.0009872209729611114,-9.872209729611114
3658,2006-06-28,1.8207,1.824,1.814,1.8184,1.8215,-0.001701894043370733,-17.01894043370733
3657,2006-06-29,1.8181,1.8289,1.8087,1.827,1.8184,0.004729432468103756,47.29432468103756
3656,2006-06-30,1.8271,1.8496,1.827,1.8487,1.827,0.011877394636015337,118.77394636015337
3655,2006-07-03,1.8471,1.8488,1.8382,1.8418,1.8487,-0.0037323524638934735,-37.323524638934735
